2025/03/08 14:45:53 --- MTP Music Manager Started ---
2025/03/08 14:45:53 OS: darwin, Architecture: arm64
2025/03/08 14:45:53 Verbose logging: true
2025/03/08 14:45:53 [VERBOSE] (main.go:25) Starting MTP Music Manager
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38D4521.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38D5132.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38E0223.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38E0704.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38E1015.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38E1200.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38E1253.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38E1506.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38E2015.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38E2840.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38E3218.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38E3643.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/HMD (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SCORCRDS (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Clubs (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Clubs/Clubs.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Adjstmts (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Metrics (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Metrics/F37N5623.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Metrics/F3800401.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Metrics/F3862401.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/ChngLog (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sleep (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4439.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4441.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4442.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4443.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4444.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4446.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4448.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4449.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4451.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4452.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4453.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4454.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4456.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4457.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/SUMMARY/F35M4458.FIT (IsDir: false)
